Date,Close,Volume,Change,LogChange
1/3/28,17.76,0,0,0
1/2/29,24.809999,0,0.397,0
1/2/30,21.18,0,-0.1463,-0.158189417
1/2/31,15.85,0,-0.2517,-0.28988784
1/4/32,7.56,0,-0.523,-0.74029831
1/3/33,6.83,0,-0.0966,-0.101546517
1/2/34,10.11,0,0.4802,0.392200359
1/2/35,9.51,0,-0.0593,-0.061181156
1/2/36,13.4,0,0.409,0.34291083
1/4/37,16.93,0,0.2634,0.233832489
1/3/38,10.52,0,-0.3786,-0.475808989
1/3/39,13.08,0,0.2433,0.217806139
1/2/40,12.63,0,-0.0344,-0.03500941
1/2/41,10.48,0,-0.1702,-0.186606257
1/2/42,8.89,0,-0.1517,-0.164541629
1/4/43,9.92,0,0.1159,0.109625872
1/3/44,11.66,0,0.1754,0.16161126
1/2/45,13.33,0,0.1432,0.133852953
1/2/46,17.25,0,0.2941,0.257795009
1/2/47,15.2,0,-0.1188,-0.126516716
1/2/48,15.34,0,0.0092,0.009168368
1/3/49,14.95,0,-0.0254,-0.025752496
1/3/50,16.66,1260000,0.1144,0.108299337
1/2/51,20.77,3030000,0.2467,0.220499001
1/2/52,23.799999,1070000,0.1459,0.136175901
1/2/53,26.540001,1450000,0.1151,0.108967528
1/4/54,24.950001,1310000,-0.0599,-0.061779204
1/3/55,36.75,4570000,0.4729,0.387264363
1/3/56,45.16,2390000,0.2288,0.206073514
1/2/57,46.200001,1960000,0.023,0.02276808
1/2/58,40.330002,1800000,-0.1271,-0.135884161
1/2/59,55.439999,3380000,0.3747,0.318205678
1/4/60,59.91,3990000,0.0806,0.077542099
1/3/61,57.57,2770000,-0.0391,-0.039841837
1/2/62,70.959999,3120000,0.2326,0.209114725
1/2/63,62.689999,2540000,-0.1165,-0.123914395
1/2/64,75.43,4680000,0.2032,0.185003145
1/4/65,84.230003,3930000,0.1167,0.110346114
1/3/66,92.18,5950000,0.0944,0.090191999
1/3/67,80.379997,6100000,-0.128,-0.136977836
1/2/68,96.110001,11080000,0.1957,0.178728028
1/2/69,103.93,9800000,0.0814,0.078224216
1/2/70,93,8050000,-0.1052,-0.111118102
1/4/71,91.150002,10010000,-0.0199,-0.02009297
1/3/72,101.669998,12570000,0.1154,0.109225732
1/2/73,119.099998,17090000,0.1714,0.158231205
1/2/74,97.68,12060000,-0.1798,-0.19826663
1/2/75,70.230003,14800000,-0.281,-0.329921217
1/2/76,90.900002,10300000,0.2943,0.25798441
1/3/77,107,21280000,0.1771,0.163068811
1/3/78,93.82,17720000,-0.1232,-0.131450782
1/2/79,96.730003,18340000,0.031,0.03054557
1/2/80,105.760002,40610000,0.0934,0.089248772
1/2/81,136.339996,28870000,0.2891,0.253979342
1/4/82,122.739998,36760000,-0.0998,-0.105083456
1/3/83,138.339996,59080000,0.1271,0.119646114
1/3/84,164.039993,71340000,0.1858,0.170395864
1/2/85,165.369995,67820000,0.0081,0.0080751
1/2/86,209.589996,98960000,0.2674,0.236967865
1/2/87,246.449997,91880000,0.1759,0.162005899
1/4/88,255.940002,181810000,0.0385,0.037783929
1/3/89,275.309998,128500000,0.0757,0.072954678
1/2/90,359.690002,162070000,0.3065,0.267344827
1/2/91,326.450012,126280000,-0.0924,-0.096965721
1/2/92,417.26001,207570000,0.2782,0.245432718
1/4/93,435.380005,201210000,0.0434,0.042509672
1/3/94,465.440002,270140000,0.069,0.066763975
1/3/95,459.109985,262450000,-0.0136,-0.013693399
1/2/96,620.72998,364180000,0.352,0.301606372
1/2/97,737.01001,463230000,0.1873,0.171705302
1/2/98,975.039978,366730000,0.323,0.279876999
1/4/99,1228.099976,877000000,0.2595,0.230745046
1/3/00,1455.219971,931800000,0.1849,0.169688832
1/2/01,1283.27002,1129400000,-0.1182,-0.125745549
1/2/02,1154.670044,1171000000,-0.1002,-0.105596896
1/2/03,909.030029,1229200000,-0.2127,-0.239191777
1/2/04,1108.47998,1153200000,0.2194,0.19836684
1/3/05,1202.079956,1510800000,0.0844,0.081063664
1/3/06,1268.800049,2554570000,0.0555,0.054018257
1/3/07,1416.599976,3429160000,0.1165,0.110188007
1/2/08,1447.160034,3452650000,0.0216,0.021343421
1/2/09,931.799988,4048270000,-0.3561,-0.440240131
1/4/10,1132.98999,3991400000,0.2159,0.19549724
1/3/11,1271.869995,4286670000,0.1226,0.115628107
1/3/12,1277.060059,3943710000,0.0041,0.004072353
1/2/13,1462.420044,4202600000,0.1451,0.135532021
1/2/14,1831.97998,3080600000,0.2527,0.22530471
1/2/15,2058.199951,2708700000,0.1235,0.116434452
1/4/16,2012.660034,4304880000,-0.0221,-0.022374543
1/3/17,2257.830078,3770530000,0.1218,0.114946962
1/2/18,2695.810059,3367250000,0.194,0.177294528
1/2/19,2510.030029,3733160000,-0.0689,-0.071404021
1/2/20,3257.850098,3458250000,0.2979,0.260772782
