DATE,INDEX
12/1/1914,21
12/1/1915,21.2
12/1/1916,21.4
12/1/1917,21
12/1/1918,22
6/1/1919,22.9
12/1/1919,24.9
6/1/1920,27
12/1/1920,29.8
5/1/1921,31.6
9/1/1921,31.8
12/1/1921,32.3
3/1/1922,32.2
6/1/1922,32.4
9/1/1922,32.4
12/1/1922,32.6
3/1/1923,32.8
6/1/1923,33.2
9/1/1923,33.5
12/1/1923,34
3/1/1924,34.1
6/1/1924,34.5
9/1/1924,34.6
12/1/1924,34.6
6/1/1925,34.6
12/1/1925,34.5
6/1/1926,34.2
12/1/1926,34
6/1/1927,33.7
12/1/1927,33.3
6/1/1928,32.9
12/1/1928,32.5
6/1/1929,32.1
12/1/1929,31.8
6/1/1930,31.3
12/1/1930,30.7
6/1/1931,29.7
12/1/1931,28.6
6/1/1932,26.7
12/1/1932,24.7
6/1/1933,22.7
12/1/1933,21.8
6/1/1934,21.3
11/1/1934,21.3
3/1/1935,21.3
7/1/1935,21.4
10/1/1935,21.5
1/1/1936,21.6
4/1/1936,21.7
7/1/1936,21.9
9/1/1936,22
12/1/1936,22.3
3/1/1937,22.4
6/1/1937,22.9
9/1/1937,23.2
12/1/1937,23.5
3/1/1938,23.6
6/1/1938,23.7
9/1/1938,23.7
12/1/1938,23.7
3/1/1939,23.7
6/1/1939,23.7
9/1/1939,23.7
12/1/1939,23.7
3/1/1940,23.7
6/1/1940,23.7
9/1/1940,23.8
10/1/1940,23.8
11/1/1940,23.8
12/1/1940,23.8
1/1/1941,23.8
2/1/1941,23.9
3/1/1941,23.9
4/1/1941,24
5/1/1941,24
6/1/1941,24
7/1/1941,24.1
8/1/1941,24.2
9/1/1941,24.3
10/1/1941,24.5
11/1/1941,24.5
12/1/1941,24.6
1/1/1942,24.7
2/1/1942,24.7
3/1/1942,24.8
4/1/1942,24.8
5/1/1942,25
6/1/1942,24.7
7/1/1942,24.6
8/1/1942,24.6
9/1/1942,24.6
10/1/1942,24.6
11/1/1942,24.6
12/1/1942,24.6
1/1/1943,24.6
2/1/1943,24.7
3/1/1943,24.7
4/1/1943,24.7
5/1/1943,24.7
6/1/1943,24.7
7/1/1943,24.7
