DATE,APY
1/1/1960,1.457975986
1/1/1961,1.070724148
1/1/1962,1.198773348
1/1/1963,1.239669421
1/1/1964,1.278911565
1/1/1965,1.585169264
1/1/1966,3.015075377
1/1/1967,2.772785623
1/1/1968,4.271796153
1/1/1969,5.4623862
1/1/1970,5.838255338
1/1/1971,4.292766688
1/1/1972,3.272278247
1/1/1973,6.177760064
1/1/1974,11.0548048
1/1/1975,9.143146865
1/1/1976,5.744812635
1/1/1977,6.501683995
1/1/1978,7.630963839
1/1/1979,11.25447113
1/1/1980,13.54920197
1/1/1981,10.33471534
1/1/1982,6.131427
1/1/1983,3.212435233
1/1/1984,4.300535475
1/1/1985,3.545644152
1/1/1986,1.898047722
1/1/1987,3.664563218
1/1/1988,4.077741107
1/1/1989,4.82700303
1/1/1990,5.39795644
1/1/1991,4.234963965
1/1/1992,3.028819678
1/1/1993,2.951656966
1/1/1994,2.607441592
1/1/1995,2.805419689
1/1/1996,2.9312042
1/1/1997,2.337689937
1/1/1998,1.552279099
1/1/1999,2.188027197
1/1/2000,3.376857271
1/1/2001,2.826171119
1/1/2002,1.586031627
1/1/2003,2.270094973
1/1/2004,2.677236693
1/1/2005,3.392746845
1/1/2006,3.225944101
1/1/2007,2.852672482
1/1/2008,3.839100297
1/1/2009,-0.355546266
1/1/2010,1.640043442
1/1/2011,3.156841569
1/1/2012,2.069337265
1/1/2013,1.464832656
1/1/2014,1.622222977
1/1/2015,0.118627136
1/1/2016,1.261583206
1/1/2017,2.130110004
1/1/2018,2.442583297
1/1/2019,1.812210075
1/1/2020,1.233584396
1/1/2021,4.697858864
1/1/2022,8.002799821
1/1/2023,4.116338384
